latitude,longitude,tests
36.4597173 , 10.7554386,1
36.4598125 , 10.7396875,3
36.46294 , 10.7244234,1
36.49079479272176 , 10.326953825385056,1
36.4978934 , 8.774046,1
36.498994 , 8.778254,1
36.502765407145134 , 8.900122824370387,1
36.5072263 , 8.7756556,3
36.5160625 , 10.5801875,1
36.52252252252252 , 10.022179891803738,1
36.5253706 , 9.0994909,1
36.5301911 , 8.6820636,1
36.53656 , 10.7999801,1
36.5427073 , 10.7802624,1
36.5527724 , 9.446374,1
36.553195899876705 , 9.298211074270583,1
36.559835771358884 , 10.572400437422415,1
36.5637433 , 9.0699083,3
36.568356 , 10.5549274,1
36.574639253376475 , 10.833676244534734,1
36.5754917 , 10.5197683,1
36.576796012396954 , 10.821405939062512,1
36.5770392 , 10.5138917,1
36.5806067 , 10.8620804,2
36.58766254449216 , 10.50636456166206,1
36.5967125 , 10.4999531,1
36.5969337 , 10.4999284,1
36.6005383 , 10.5027209,1
36.6024831 , 10.5014909,3
36.6041416 , 8.938511499999999,1
36.604847175182485 , 10.57963591321979,1
36.6079784 , 8.9643653,1
36.632054663832285 , 10.547718225097666,1
36.6377241 , 10.5755898,1
36.638891321068854 , 10.580670069952411,1
36.63917800000001 , 10.5689948,1
36.63959994669699 , 10.582279118334945,1
36.6464637 , 9.6135315,1
36.6478364 , 10.5915072,1
36.6484118 , 9.6146499,1
36.648843 , 9.60811,1
36.6620195 , 9.148652799999999,2
36.6625749 , 10.5310178,1
36.6668622 , 10.2544044,1
36.671864318523646 , 10.575807395061942,1
36.6755608 , 10.1535196,1
36.6769375 , 10.2993125,2
36.6776663 , 10.2845199,1
36.67826812281458 , 9.019174750183096,1
36.680218301883805 , 10.81350836660023,1
36.68105333029821 , 10.570298476066524,1
